Description,Rank 3 Months to 6 Mar 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 6 Mar 2026
Cybersecurity,4,+33,"£57,239",-8.92%,"1,726","5,196",12.70%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,
Java,,-24,"£75,000",-,833,"2,125",2.94%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,70
JavaScript,,-47,"£60,000",-9.22%,"1,398","2,174",3.01%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,69
Azure,,+1,"£62,500",-3.84%,"3,320","9,196",12.74%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,6
AI,,+33,"£70,000",-6.66%,"3,574","10,011",13.87%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,4
Python,,-5,"£67,500",-10.00%,"3,436","5,341",7.40%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,17
AWS,,-15,"£70,932",-5.42%,"2,616","4,797",6.64%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,25
SQL,,-13,"£57,500",-4.16%,"2,419","4,964",6.88%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,22
Databricks,,-24,"£85,000",+13.33%,361,586,0.81%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,256
Snowflake,,+20,"£80,000",-15.78%,210,432,0.60%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,325
R,,-55,"£30,500",-50.80%,395,286,0.40%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,422
Cybersecurity,,+31,"£50,000",-22.17%,"1,726","8,792",12.18%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&ql=Python%2CJava%2CR%2CSQL%2CJavaScript%2CAWS%2CAzure%2CGoogle+Cloud+Platform%2CGCP%2CSnowflake%2CDatabricks%2CAI%2CCybersecurity%2CData+Science%2CSoftware+Engineering,1,7
Software Engineering,24,-8,"£70,000",-3.44%,"1,897","2,641",6.45%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Data Science,139,-29,"£70,000",-2.76%,"1,053",559,1.37%,3mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=3,3,
Software Engineering,,-11,"£70,000",-2.09%,"1,897","4,535",6.28%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,28
Data Science,,-26,"£70,000",-,"1,053","1,005",1.39%,6mo,2026-03-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,162
